exchange_id,request_date,from_hospital_id,to_hospital_id,medicine_id,quantity_units,priority,status,distance_km,estimated_lead_days,same_province,reason,involves_demo
EX-00021,2026-04-20,DEMO-05,DEMO-04,MED-009,98,Normal,Completed,5.4,1,1,Emergency case load,1
EX-00022,2026-01-07,DEMO-07,HOSP-BG-015,MED-054,78,Emergency,Completed,166.4,2,0,Monsoon surge,1
EX-00023,2025-12-16,HOSP-GD-003,DEMO-01,MED-045,5,Normal,Completed,74.5,2,0,Routine balancing,1
EX-00024,2026-01-07,DEMO-08,DEMO-07,MED-047,27,Normal,In_Transit,211.9,2,0,Emergency case load,1
EX-00025,2026-05-26,DEMO-07,DEMO-08,MED-062,112,Normal,Completed,211.9,2,0,Chemo cycle demand,1
EX-00026,2026-06-19,HOSP-KR-004,HOSP-BG-019,MED-026,23,Normal,Completed,298.7,3,0,Chemo cycle demand,0
EX-00027,2026-01-03,DEMO-08,DEMO-01,MED-026,5,Emergency,Requested,352.2,5,0,Routine balancing,1
EX-00028,2026-01-09,DEMO-08,DEMO-03,MED-066,5,Normal,Completed,363.7,6,0,Chemo cycle demand,1
EX-00029,2025-12-18,DEMO-07,HOSP-GD-004,MED-030,51,High,Completed,45.9,2,1,Near-expiry redistribution,1
EX-00030,2026-04-18,HOSP-BG-019,HOSP-KR-004,MED-059,25,Normal,Completed,298.7,5,0,Monsoon surge,0
EX-00031,2026-03-06,HOSP-BG-017,HOSP-BG-012,MED-014,37,High,Completed,39.9,1,1,Surgical camp,0
EX-00032,2026-03-22,DEMO-08,DEMO-07,MED-017,5,Normal,Completed,211.9,2,0,Outbreak response,1
EX-00033,2026-05-04,DEMO-02,DEMO-07,MED-064,244,Normal,Requested,142.1,2,0,Chemo cycle demand,1
EX-00034,2025-12-22,DEMO-07,DEMO-02,MED-004,52,Normal,In_Transit,142.1,1,0,Emergency case load,1
EX-00035,2026-05-23,HOSP-BG-011,HOSP-BG-017,MED-059,73,High,Completed,37.1,1,1,Pediatric surge,0
EX-00036,2026-04-26,HOSP-GD-002,HOSP-KP-003,MED-050,20,Emergency,Completed,484.2,6,0,Pediatric surge,0
EX-00037,2026-06-22,HOSP-GD-005,HOSP-MD-001,MED-033,232,High,Requested,254.3,4,0,Chemo cycle demand,0
EX-00039,2025-12-23,DEMO-08,DEMO-03,MED-064,18,High,Completed,363.7,5,0,Low stock,1
EX-00040,2026-04-10,DEMO-06,DEMO-05,MED-051,18,Emergency,Completed,237.2,3,0,Emergency case load,1
EX-00041,2026-03-04,HOSP-BG-015,DEMO-02,MED-067,109,High,Rejected,24.6,1,1,Emergency case load,1
EX-00042,2026-03-05,DEMO-08,DEMO-06,MED-017,5,Normal,Completed,590.4,8,0,Low stock,1
EX-00043,2026-03-27,DEMO-08,HOSP-MD-001,MED-031,75,Emergency,Completed,463.7,5,0,Pediatric surge,1
EX-00044,2026-03-10,DEMO-01,DEMO-03,MED-056,135,Normal,Completed,11.8,1,1,Emergency case load,1
EX-00045,2026-05-01,DEMO-08,DEMO-05,MED-012,36,High,In_Transit,353.6,5,0,Routine balancing,1
EX-00047,2026-01-21,HOSP-GD-005,HOSP-KP-003,MED-065,101,High,Completed,446.9,6,0,Low stock,0
EX-00048,2026-04-14,DEMO-03,DEMO-04,MED-065,48,High,Requested,11.9,1,1,Near-expiry redistribution,1
EX-00049,2026-05-23,DEMO-04,HOSP-MD-003,MED-031,40,Normal,Completed,108.4,1,0,Routine balancing,1
EX-00050,2025-12-20,HOSP-GD-004,HOSP-BG-011,MED-067,5,Normal,Completed,144.0,1,0,Low stock,0
EX-00051,2026-05-13,DEMO-03,DEMO-07,MED-058,13,Emergency,Completed,153.7,3,0,Postpartum hemorrhage kit,1
EX-00052,2026-05-01,HOSP-SP-003,HOSP-SP-002,MED-045,5,Normal,Completed,118.1,2,1,Low stock,0
EX-00053,2026-05-25,DEMO-05,HOSP-GD-005,MED-062,24,Normal,Approved,144.2,2,0,Postpartum hemorrhage kit,1
EX-00054,2026-05-02,DEMO-07,DEMO-06,MED-033,128,High,Completed,378.9,4,0,Monsoon surge,1
EX-00055,2026-05-29,HOSP-KP-004,HOSP-LB-003,MED-028,15,High,Completed,403.8,7,0,Emergency case load,0
EX-00056,2025-12-30,DEMO-03,DEMO-05,MED-018,24,High,Completed,10.8,1,1,Outbreak response,1
EX-00058,2026-05-25,DEMO-02,HOSP-LB-004,MED-027,66,Normal,Approved,245.1,4,0,Chemo cycle demand,1
EX-00059,2026-03-19,DEMO-08,DEMO-07,MED-050,5,High,Completed,211.9,2,0,Surgical camp,1
EX-00060,2026-06-26,HOSP-KR-001,HOSP-BG-011,MED-005,119,High,Completed,379.2,4,0,Surgical camp,0
EX-00061,2026-03-16,HOSP-KR-001,HOSP-BG-019,MED-062,12,Normal,Approved,376.1,6,0,Postpartum hemorrhage kit,0
EX-00062,2026-05-05,DEMO-08,HOSP-MD-002,MED-064,10,Normal,Completed,364.8,6,0,Outbreak response,1
EX-00063,2026-04-19,DEMO-08,HOSP-GD-002,MED-033,27,Normal,Completed,176.8,3,0,Chemo cycle demand,1
EX-00064,2026-01-29,DEMO-08,DEMO-07,MED-017,5,Normal,Completed,211.9,4,0,Low stock,1
EX-00065,2025-12-29,DEMO-01,DEMO-03,MED-006,91,Emergency,Completed,11.8,1,1,Pediatric surge,1
EX-00066,2026-03-27,DEMO-03,DEMO-08,MED-052,48,Normal,Completed,363.7,5,0,Low stock,1
EX-00067,2026-02-27,DEMO-08,HOSP-GD-002,MED-063,5,High,Completed,176.8,2,0,Monsoon surge,1
EX-00068,2026-02-19,HOSP-SP-003,HOSP-MD-002,MED-068,5,Emergency,Completed,457.5,6,0,Routine balancing,0
EX-00069,2026-03-22,DEMO-07,DEMO-03,MED-006,59,High,Completed,153.7,2,0,Emergency case load,1
EX-00070,2026-02-09,HOSP-KR-004,HOSP-GD-002,MED-056,5,Normal,In_Transit,118.4,1,0,Emergency case load,0
EX-00071,2026-03-12,DEMO-08,HOSP-GD-003,MED-039,5,High,Approved,277.9,5,0,Emergency case load,1
EX-00072,2026-05-23,HOSP-SP-003,HOSP-KP-003,MED-068,5,Normal,Completed,754.4,10,0,Surgical camp,0
EX-00073,2026-06-05,HOSP-BG-012,DEMO-08,MED-052,85,High,Completed,352.9,4,0,Chemo cycle demand,1
EX-00074,2026-03-09,DEMO-07,HOSP-GD-005,MED-069,53,Normal,Completed,3.4,1,1,Near-expiry redistribution,1
EX-00075,2026-01-13,HOSP-KR-003,DEMO-03,MED-028,5,Emergency,Completed,285.3,5,0,Chemo cycle demand,1
EX-00076,2026-04-29,DEMO-02,HOSP-BG-010,MED-018,161,Normal,Completed,88.9,1,1,Surgical camp,1
EX-00077,2026-02-21,DEMO-02,DEMO-06,MED-009,117,Normal,Completed,239.4,2,0,Low stock,1
EX-00078,2026-04-11,HOSP-GD-004,HOSP-LB-004,MED-053,5,Normal,In_Transit,143.5,3,0,Chemo cycle demand,0
EX-00079,2026-03-19,DEMO-02,DEMO-06,MED-021,203,High,Completed,239.4,3,0,Chemo cycle demand,1
EX-00080,2026-02-20,DEMO-07,DEMO-04,MED-067,33,Normal,Requested,142.3,3,0,Surgical camp,1
EX-00081,2026-05-31,HOSP-BG-012,HOSP-MD-001,MED-060,46,Emergency,Completed,123.7,2,0,Routine balancing,0
EX-00083,2026-05-05,DEMO-07,HOSP-SP-003,MED-055,108,Normal,Completed,309.5,3,0,Outbreak response,1
EX-00085,2026-04-26,DEMO-04,HOSP-LB-004,MED-055,50,High,Requested,245.2,5,0,Outbreak response,1
EX-00086,2026-02-02,HOSP-KP-001,HOSP-BG-019,MED-021,46,Normal,Completed,219.8,3,0,Surgical camp,0
EX-00087,2026-04-19,DEMO-04,DEMO-03,MED-035,27,Normal,Completed,11.9,1,1,Pediatric surge,1
EX-00088,2026-04-29,HOSP-KP-004,HOSP-MD-004,MED-038,7,Normal,Approved,164.0,3,0,Low stock,0
EX-00089,2026-03-07,HOSP-KR-004,DEMO-05,MED-038,5,High,Completed,300.1,3,0,Routine balancing,1
EX-00090,2026-04-01,DEMO-03,DEMO-02,MED-007,34,High,Completed,11.9,2,1,Pediatric surge,1
EX-00091,2026-03-08,DEMO-08,DEMO-01,MED-028,21,Normal,Completed,352.2,5,0,Outbreak response,1
EX-00092,2026-06-13,HOSP-KR-001,HOSP-SP-004,MED-072,56,Normal,Completed,127.4,2,0,Emergency case load,0
EX-00093,2026-04-03,DEMO-08,HOSP-KR-004,MED-004,19,High,Requested,76.2,1,1,Near-expiry redistribution,1
EX-00094,2026-03-29,DEMO-08,DEMO-03,MED-047,5,Normal,Completed,363.7,5,0,Chemo cycle demand,1
EX-00095,2026-02-10,HOSP-SP-002,HOSP-GD-002,MED-055,42,Normal,Completed,341.8,4,0,Near-expiry redistribution,0
EX-00096,2026-05-24,HOSP-KR-004,HOSP-SP-002,MED-070,30,Normal,Completed,224.4,2,0,Near-expiry redistribution,0
EX-00097,2026-06-07,DEMO-01,DEMO-06,MED-072,58,Normal,Completed,238.7,2,0,Routine balancing,1
EX-00098,2026-04-14,DEMO-07,HOSP-MD-004,MED-055,108,High,Completed,158.9,2,0,Surgical camp,1
EX-00099,2026-06-22,DEMO-03,DEMO-01,MED-008,142,High,Approved,11.8,1,1,Routine balancing,1
EX-00100,2026-03-25,DEMO-08,DEMO-03,MED-045,5,Normal,Completed,363.7,5,0,Postpartum hemorrhage kit,1
EX-00101,2026-02-23,HOSP-KR-003,HOSP-SP-004,MED-063,5,High,Completed,228.7,4,0,Postpartum hemorrhage kit,0
EX-00102,2026-02-10,DEMO-01,DEMO-05,MED-065,126,Normal,Completed,1.8,1,1,Emergency case load,1
EX-00103,2026-03-10,DEMO-03,DEMO-05,MED-006,129,Normal,Completed,10.8,1,1,Chemo cycle demand,1
EX-00104,2026-02-17,DEMO-04,HOSP-LB-005,MED-018,139,Normal,Completed,176.3,4,0,Chemo cycle demand,1
EX-00105,2026-04-02,HOSP-BG-019,DEMO-06,MED-018,25,Normal,In_Transit,240.3,5,0,Surgical camp,1
EX-00106,2026-03-27,DEMO-07,DEMO-01,MED-044,112,High,Requested,142.0,1,0,Emergency case load,1
EX-00107,2026-01-27,DEMO-01,DEMO-08,MED-023,75,Normal,Requested,352.2,6,0,Routine balancing,1
EX-00108,2026-04-28,HOSP-KR-004,HOSP-KP-004,MED-027,31,High,Approved,424.0,7,0,Chemo cycle demand,0
EX-00109,2026-06-08,DEMO-05,DEMO-01,MED-009,218,Normal,Completed,1.8,2,1,Emergency case load,1
EX-00110,2025-12-23,DEMO-08,DEMO-06,MED-014,5,Emergency,Completed,590.4,8,0,Outbreak response,1
EX-00111,2026-04-04,HOSP-LB-005,HOSP-LB-004,MED-048,207,High,Completed,71.3,2,1,Near-expiry redistribution,0
EX-00112,2025-12-29,DEMO-01,HOSP-MD-003,MED-007,36,High,Completed,104.7,1,0,Pediatric surge,1
EX-00113,2026-04-01,HOSP-LB-004,HOSP-KP-001,MED-006,20,High,Completed,458.7,5,0,Postpartum hemorrhage kit,0
EX-00114,2026-05-31,DEMO-04,DEMO-03,MED-070,193,Normal,Completed,11.9,1,1,Emergency case load,1
EX-00115,2026-03-08,HOSP-SP-004,HOSP-GD-005,MED-008,26,Normal,Completed,352.6,5,0,Pediatric surge,0
EX-00116,2026-04-04,DEMO-07,DEMO-06,MED-004,203,Normal,In_Transit,378.9,5,0,Low stock,1
EX-00117,2026-02-07,HOSP-BG-013,HOSP-GD-005,MED-046,12,Emergency,Rejected,145.5,2,0,Pediatric surge,0
EX-00118,2026-05-07,DEMO-07,DEMO-05,MED-004,153,Normal,In_Transit,143.2,3,0,Emergency case load,1
EX-00119,2026-05-18,DEMO-03,DEMO-06,MED-003,177,High,Completed,227.5,4,0,Low stock,1
EX-00120,2026-05-16,DEMO-08,DEMO-07,MED-005,44,High,In_Transit,211.9,2,0,Chemo cycle demand,1
EX-00121,2025-12-24,DEMO-08,DEMO-03,MED-026,26,Normal,Completed,363.7,4,0,Emergency case load,1
EX-00122,2025-12-20,DEMO-08,DEMO-05,MED-066,5,High,Completed,353.6,6,0,Low stock,1
EX-00123,2026-02-24,HOSP-GD-003,HOSP-KP-004,MED-045,5,High,Rejected,199.3,3,0,Outbreak response,0
EX-00124,2026-05-15,DEMO-02,DEMO-07,MED-052,194,Normal,Completed,142.1,3,0,Routine balancing,1
EX-00125,2026-02-08,DEMO-03,DEMO-06,MED-065,48,High,Completed,227.5,3,0,Low stock,1
EX-00126,2026-06-14,DEMO-08,DEMO-01,MED-022,36,Emergency,Completed,352.2,5,0,Chemo cycle demand,1
EX-00127,2026-03-08,HOSP-BG-019,HOSP-KR-001,MED-054,99,High,Completed,376.1,4,0,Monsoon surge,0
EX-00128,2026-05-22,DEMO-08,DEMO-07,MED-028,21,Normal,Completed,211.9,3,0,Postpartum hemorrhage kit,1
EX-00129,2026-05-14,HOSP-BG-011,HOSP-KR-001,MED-061,9,Normal,Completed,379.2,4,0,Outbreak response,0
EX-00130,2026-06-16,DEMO-05,DEMO-02,MED-052,108,Normal,Completed,5.2,2,1,Pediatric surge,1
EX-00131,2026-02-21,HOSP-KR-003,HOSP-KP-003,MED-044,5,High,Requested,576.8,8,0,Near-expiry redistribution,0
EX-00132,2026-01-13,DEMO-05,DEMO-06,MED-057,214,High,In_Transit,237.2,4,0,Routine balancing,1
EX-00133,2026-03-23,DEMO-08,DEMO-07,MED-052,32,Normal,Completed,211.9,4,0,Outbreak response,1
EX-00134,2026-02-21,HOSP-GD-004,HOSP-LB-001,MED-009,5,Normal,Completed,122.9,1,0,Outbreak response,0
EX-00136,2026-01-06,DEMO-06,DEMO-08,MED-008,134,Normal,Completed,590.4,8,0,Outbreak response,1
EX-00137,2025-12-21,DEMO-01,HOSP-SP-001,MED-072,55,Emergency,Completed,472.6,5,0,Low stock,1
EX-00138,2026-04-08,DEMO-01,DEMO-05,MED-038,86,Normal,Completed,1.8,2,1,Outbreak response,1
EX-00139,2026-03-30,DEMO-01,DEMO-07,MED-066,104,Emergency,Completed,142.0,1,0,Surgical camp,1
EX-00140,2026-03-12,DEMO-04,DEMO-01,MED-065,69,Normal,Completed,4.0,2,1,Monsoon surge,1
EX-00141,2025-12-24,DEMO-05,DEMO-04,MED-008,24,Normal,Completed,5.4,2,1,Emergency case load,1
EX-00142,2026-03-17,HOSP-BG-018,DEMO-05,MED-037,50,Normal,In_Transit,2.7,2,1,Routine balancing,1
EX-00143,2026-01-06,DEMO-08,DEMO-02,MED-007,18,Normal,Rejected,351.8,5,0,Emergency case load,1
EX-00144,2025-12-19,HOSP-BG-018,HOSP-BG-012,MED-002,32,High,Completed,4.0,1,1,Pediatric surge,0
EX-00145,2026-04-26,DEMO-08,HOSP-SP-002,MED-029,41,Normal,Completed,197.5,3,0,Emergency case load,1
EX-00146,2026-03-03,DEMO-05,DEMO-03,MED-020,162,High,Completed,10.8,1,1,Low stock,1
EX-00147,2026-02-16,HOSP-GD-002,HOSP-GD-005,MED-039,23,Normal,Completed,39.3,2,1,Routine balancing,0
EX-00148,2026-04-10,HOSP-SP-003,HOSP-BG-018,MED-011,24,Emergency,Rejected,453.8,6,0,Pediatric surge,0
EX-00149,2025-12-26,DEMO-07,DEMO-08,MED-061,108,Emergency,Rejected,211.9,4,0,Postpartum hemorrhage kit,1
EX-00150,2026-03-12,DEMO-08,HOSP-KP-001,MED-062,5,Normal,Completed,570.8,7,0,Postpartum hemorrhage kit,1
EX-00152,2026-05-14,DEMO-02,DEMO-06,MED-040,216,Normal,Approved,239.4,4,0,Surgical camp,1
EX-00153,2026-06-27,DEMO-05,HOSP-BG-010,MED-069,88,Normal,Completed,87.7,2,1,Outbreak response,1
EX-00154,2026-03-14,DEMO-08,HOSP-SP-001,MED-006,33,Normal,Completed,165.5,4,0,Near-expiry redistribution,1
EX-00155,2026-01-07,DEMO-02,HOSP-LB-005,MED-018,39,Emergency,Completed,176.1,4,0,Postpartum hemorrhage kit,1
EX-00156,2026-06-15,DEMO-06,DEMO-03,MED-042,24,High,Approved,227.5,3,0,Surgical camp,1
EX-00157,2025-12-20,HOSP-KR-003,HOSP-BG-018,MED-022,5,Emergency,Completed,276.9,3,0,Routine balancing,0
EX-00158,2026-05-24,DEMO-08,DEMO-07,MED-017,5,Normal,Completed,211.9,4,0,Outbreak response,1
EX-00159,2026-02-05,HOSP-KR-004,HOSP-BG-013,MED-033,25,Normal,Completed,301.2,4,0,Pediatric surge,0
EX-00160,2026-01-03,HOSP-LB-005,DEMO-02,MED-036,46,Normal,Completed,176.1,3,0,Near-expiry redistribution,1
EX-00161,2026-01-29,HOSP-BG-012,DEMO-02,MED-038,74,Normal,Completed,3.9,1,1,Postpartum hemorrhage kit,1
EX-00162,2026-06-08,HOSP-BG-019,HOSP-KP-003,MED-014,118,Normal,In_Transit,304.6,3,0,Monsoon surge,0
EX-00163,2025-12-27,DEMO-08,HOSP-KP-001,MED-065,5,Normal,Completed,570.8,8,0,Routine balancing,1
EX-00164,2026-02-07,DEMO-07,DEMO-05,MED-008,179,Normal,Completed,143.2,2,0,Pediatric surge,1
EX-00165,2025-12-20,DEMO-08,DEMO-03,MED-023,5,High,Completed,363.7,5,0,Surgical camp,1
EX-00166,2026-04-20,HOSP-GD-005,DEMO-04,MED-035,51,Emergency,Requested,143.1,3,0,Low stock,1
EX-00167,2026-03-17,HOSP-KR-003,HOSP-LB-002,MED-014,5,Normal,Completed,160.5,4,0,Near-expiry redistribution,0
EX-00169,2026-04-22,DEMO-08,DEMO-02,MED-007,36,Normal,Completed,351.8,4,0,Routine balancing,1
EX-00170,2026-04-28,DEMO-03,DEMO-01,MED-070,129,High,Completed,11.8,1,1,Routine balancing,1
EX-00172,2026-05-01,DEMO-05,DEMO-02,MED-006,5,Normal,Requested,5.2,1,1,Monsoon surge,1
EX-00173,2026-02-25,DEMO-08,DEMO-01,MED-062,5,Emergency,Completed,352.2,5,0,Outbreak response,1
EX-00174,2026-02-02,DEMO-08,DEMO-05,MED-006,32,High,Completed,353.6,4,0,Near-expiry redistribution,1
EX-00176,2026-06-04,HOSP-GD-004,HOSP-MD-004,MED-029,5,Normal,Completed,182.0,4,0,Low stock,0
EX-00177,2026-01-25,HOSP-KR-003,DEMO-05,MED-038,5,High,Requested,275.2,3,0,Routine balancing,1
EX-00178,2026-05-03,DEMO-04,DEMO-01,MED-070,73,Emergency,Completed,4.0,1,1,Chemo cycle demand,1
EX-00179,2026-05-08,DEMO-02,HOSP-KP-004,MED-065,160,Normal,Completed,124.8,1,0,Low stock,1
EX-00180,2026-02-26,HOSP-GD-004,DEMO-06,MED-015,5,Normal,Completed,379.5,5,0,Emergency case load,1
EX-00181,2025-12-30,HOSP-BG-016,HOSP-LB-003,MED-067,51,Normal,Completed,259.7,4,0,Near-expiry redistribution,0
EX-00182,2026-05-19,HOSP-GD-003,DEMO-06,MED-045,5,High,Completed,312.5,3,0,Chemo cycle demand,1
EX-00183,2025-12-19,DEMO-01,DEMO-03,MED-004,220,Normal,Completed,11.8,1,1,Chemo cycle demand,1
EX-00184,2026-06-28,HOSP-BG-012,HOSP-LB-003,MED-037,74,Normal,Completed,281.2,4,0,Pediatric surge,0
EX-00185,2025-12-22,HOSP-KR-004,HOSP-GD-004,MED-033,25,Normal,Approved,175.1,2,0,Near-expiry redistribution,0
EX-00186,2026-01-10,DEMO-07,DEMO-04,MED-055,62,Emergency,Completed,142.3,3,0,Postpartum hemorrhage kit,1
EX-00187,2026-03-09,DEMO-01,HOSP-KR-001,MED-055,78,Emergency,Completed,375.9,4,0,Emergency case load,1
EX-00188,2026-05-25,DEMO-03,HOSP-LB-003,MED-018,131,High,Rejected,292.2,5,0,Surgical camp,1
EX-00189,2026-02-24,HOSP-BG-017,HOSP-SP-001,MED-008,20,Normal,Rejected,509.2,7,0,Pediatric surge,0
EX-00190,2026-01-29,HOSP-SP-003,HOSP-LB-003,MED-056,5,Normal,Approved,209.5,4,0,Monsoon surge,0
EX-00191,2026-01-02,DEMO-02,DEMO-08,MED-065,122,High,Completed,351.8,4,0,Chemo cycle demand,1
EX-00192,2026-04-22,HOSP-LB-004,HOSP-BG-017,MED-072,5,Normal,Completed,281.9,5,0,Emergency case load,0
EX-00193,2025-12-29,HOSP-KP-004,DEMO-02,MED-025,20,Normal,Completed,124.8,1,0,Near-expiry redistribution,1
EX-00194,2026-04-27,HOSP-KR-003,HOSP-BG-011,MED-026,5,High,Completed,276.7,4,0,Postpartum hemorrhage kit,0
EX-00195,2026-03-13,HOSP-GD-004,HOSP-KP-003,MED-004,5,Normal,Approved,440.8,6,0,Low stock,0
EX-00196,2026-06-18,HOSP-GD-004,HOSP-LB-003,MED-054,5,Normal,Completed,181.2,2,0,Surgical camp,0
EX-00198,2025-12-21,HOSP-BG-017,HOSP-MD-001,MED-008,20,Emergency,Completed,118.5,1,0,Low stock,0
EX-00199,2026-04-28,HOSP-LB-002,HOSP-KP-001,MED-010,14,High,In_Transit,576.2,7,0,Near-expiry redistribution,0
EX-00200,2025-12-23,HOSP-KP-004,HOSP-MD-003,MED-064,5,Emergency,Completed,136.1,2,0,Postpartum hemorrhage kit,0
EX-00201,2026-03-15,HOSP-BG-012,HOSP-KR-003,MED-030,20,High,Completed,274.5,5,0,Near-expiry redistribution,0
EX-00202,2026-05-17,DEMO-02,DEMO-05,MED-060,136,Normal,Approved,5.2,2,1,Chemo cycle demand,1
EX-00203,2026-02-13,DEMO-01,DEMO-08,MED-056,135,High,Completed,352.2,6,0,Monsoon surge,1
EX-00204,2026-03-25,DEMO-03,DEMO-04,MED-009,53,Normal,Approved,11.9,2,1,Low stock,1
EX-00205,2026-02-06,DEMO-07,HOSP-GD-002,MED-062,112,High,Approved,39.3,1,1,Low stock,1
EX-00206,2026-03-13,DEMO-04,DEMO-06,MED-007,168,Normal,Completed,239.3,2,0,Chemo cycle demand,1
EX-00207,2026-03-23,HOSP-KR-003,HOSP-LB-002,MED-022,5,Normal,Completed,160.5,4,0,Emergency case load,0
EX-00208,2026-02-02,DEMO-03,DEMO-07,MED-049,34,Emergency,In_Transit,153.7,1,0,Low stock,1
EX-00209,2025-12-13,HOSP-SP-004,HOSP-BG-010,MED-008,26,High,Completed,417.6,7,0,Surgical camp,0
EX-00210,2026-01-05,DEMO-08,DEMO-02,MED-025,10,High,Completed,351.8,5,0,Routine balancing,1
EX-00211,2025-12-17,HOSP-KR-004,DEMO-02,MED-009,17,Normal,Completed,299.3,3,0,Monsoon surge,1
EX-00212,2026-03-16,DEMO-02,DEMO-03,MED-065,127,Normal,Completed,11.9,1,1,Postpartum hemorrhage kit,1
EX-00213,2026-05-11,DEMO-07,DEMO-05,MED-027,188,Emergency,Completed,143.2,1,0,Routine balancing,1
EX-00214,2026-06-01,HOSP-GD-002,DEMO-06,MED-039,23,High,Completed,416.0,6,0,Pediatric surge,1
EX-00216,2026-03-12,HOSP-BG-012,HOSP-LB-003,MED-069,83,Emergency,Completed,281.2,4,0,Routine balancing,0
EX-00217,2025-12-29,HOSP-SP-003,HOSP-KP-004,MED-037,5,Normal,In_Transit,574.9,8,0,Low stock,0
EX-00218,2026-01-11,DEMO-01,HOSP-KP-003,MED-045,27,Emergency,Requested,303.9,4,0,Emergency case load,1
EX-00219,2025-12-15,DEMO-08,DEMO-02,MED-065,5,Normal,Completed,351.8,6,0,Routine balancing,1
EX-00221,2026-02-01,DEMO-03,HOSP-BG-010,MED-051,14,High,Requested,98.3,2,1,Emergency case load,1
EX-00222,2026-04-26,DEMO-05,HOSP-BG-011,MED-058,24,Emergency,Approved,3.2,1,1,Routine balancing,1
EX-00223,2026-01-31,DEMO-05,HOSP-LB-003,MED-057,182,High,In_Transit,281.4,3,0,Pediatric surge,1
EX-00224,2025-12-29,DEMO-01,DEMO-08,MED-004,147,Emergency,Requested,352.2,6,0,Emergency case load,1
EX-00225,2026-06-24,HOSP-BG-016,HOSP-SP-004,MED-017,15,Normal,Completed,482.7,6,0,Pediatric surge,0
EX-00226,2026-01-10,DEMO-08,HOSP-LB-003,MED-034,5,Normal,Completed,140.3,1,0,Emergency case load,1
EX-00227,2026-06-23,DEMO-04,DEMO-08,MED-068,50,High,Completed,351.9,5,0,Surgical camp,1
EX-00228,2025-12-28,HOSP-BG-012,HOSP-KP-004,MED-048,75,Normal,Completed,124.4,2,0,Postpartum hemorrhage kit,0
EX-00229,2026-01-21,HOSP-GD-003,HOSP-GD-005,MED-017,5,High,Completed,68.5,2,1,Chemo cycle demand,0
EX-00230,2026-05-20,DEMO-08,DEMO-01,MED-026,5,Normal,Completed,352.2,4,0,Pediatric surge,1
EX-00231,2026-03-01,DEMO-01,DEMO-02,MED-056,38,Normal,Approved,3.8,2,1,Monsoon surge,1
EX-00232,2026-05-20,DEMO-02,DEMO-08,MED-058,78,Normal,In_Transit,351.8,4,0,Surgical camp,1
EX-00233,2026-06-06,DEMO-01,DEMO-04,MED-024,55,Normal,Completed,4.0,1,1,Low stock,1
EX-00234,2026-03-31,DEMO-08,DEMO-02,MED-039,75,Normal,Completed,351.8,4,0,Low stock,1
EX-00235,2026-03-23,DEMO-02,HOSP-KR-001,MED-064,193,Normal,Completed,376.5,6,0,Low stock,1
