request_id,request_datetime,hospital_id,medicine_id,quantity_requested,severity,cause,status,response_hours
EMR-0025,2026-05-29T00:00:00Z,HOSP-GD-002,MED-038,123,High,Pediatric pneumonia surge,Fulfilled,14.4
EMR-0026,2026-06-01T00:00:00Z,DEMO-08,MED-017,11,Critical,Neonatal sepsis,Partially_Fulfilled,11.3
EMR-0027,2025-07-01T00:00:00Z,DEMO-04,MED-055,122,High,Postpartum hemorrhage,Partially_Fulfilled,2.9
EMR-0028,2025-10-19T00:00:00Z,DEMO-02,MED-030,264,High,Postpartum hemorrhage,Fulfilled,14.7
EMR-0029,2025-08-02T00:00:00Z,DEMO-05,MED-031,59,Critical,Chemo stockout,Fulfilled,13.2
EMR-0030,2025-12-21T00:00:00Z,HOSP-KP-003,MED-062,258,High,COPD exacerbation cluster,Open,43.9
EMR-0031,2025-10-28T00:00:00Z,HOSP-LB-003,MED-047,292,Critical,Neonatal sepsis,Cancelled,17.6
EMR-0032,2025-12-25T00:00:00Z,DEMO-08,MED-047,220,Medium,Chemo stockout,Fulfilled,32.2
EMR-0033,2026-03-24T00:00:00Z,HOSP-BG-012,MED-002,170,Medium,Mass casualty,Fulfilled,20.6
EMR-0034,2025-10-09T00:00:00Z,DEMO-06,MED-010,283,High,Chemo stockout,Fulfilled,46.1
EMR-0035,2026-01-20T00:00:00Z,DEMO-06,MED-031,193,Medium,Neonatal sepsis,Fulfilled,3.4
EMR-0036,2025-08-04T00:00:00Z,HOSP-BG-010,MED-038,78,Critical,Flood displacement camp,Fulfilled,12.1
EMR-0037,2025-07-27T00:00:00Z,HOSP-MD-003,MED-020,125,Critical,Chemo stockout,Fulfilled,15.7
EMR-0038,2026-04-14T00:00:00Z,HOSP-LB-005,MED-033,75,Medium,Postpartum hemorrhage,Fulfilled,4.0
EMR-0039,2025-08-17T00:00:00Z,HOSP-SP-003,MED-049,158,High,Dengue surge,Open,5.5
EMR-0040,2026-03-16T00:00:00Z,DEMO-06,MED-061,258,High,Pediatric pneumonia surge,Fulfilled,35.4
EMR-0041,2026-06-15T00:00:00Z,HOSP-KR-004,MED-024,206,High,Postpartum hemorrhage,Partially_Fulfilled,24.9
EMR-0042,2026-02-27T00:00:00Z,DEMO-07,MED-004,197,Critical,Surgical emergency,Open,2.3
EMR-0043,2025-09-29T00:00:00Z,HOSP-BG-010,MED-007,73,High,Postpartum hemorrhage,Partially_Fulfilled,22.5
EMR-0044,2025-11-03T00:00:00Z,DEMO-07,MED-060,52,High,Flood displacement camp,Cancelled,6.8
EMR-0045,2025-10-15T00:00:00Z,DEMO-07,MED-023,70,High,Mass casualty,Fulfilled,41.7
EMR-0046,2026-03-30T00:00:00Z,HOSP-BG-017,MED-030,51,Medium,Road traffic accident,Cancelled,35.3
EMR-0047,2026-05-21T00:00:00Z,DEMO-01,MED-051,252,Medium,Snake bite,Partially_Fulfilled,37.6
EMR-0048,2026-02-22T00:00:00Z,DEMO-02,MED-021,196,Medium,Chemo stockout,Partially_Fulfilled,46.0
EMR-0049,2026-04-03T00:00:00Z,DEMO-03,MED-057,47,Critical,Pediatric pneumonia surge,Fulfilled,11.5
EMR-0050,2026-06-13T00:00:00Z,DEMO-05,MED-016,120,Medium,Road traffic accident,Partially_Fulfilled,14.3
EMR-0051,2025-12-29T00:00:00Z,DEMO-03,MED-035,181,Critical,Postpartum hemorrhage,Fulfilled,12.1
EMR-0052,2025-08-01T00:00:00Z,HOSP-MD-002,MED-054,184,Critical,Blood shortage,Fulfilled,14.0
EMR-0053,2025-12-11T00:00:00Z,DEMO-01,MED-039,152,Medium,Road traffic accident,Fulfilled,14.0
EMR-0054,2026-05-13T00:00:00Z,DEMO-06,MED-043,231,High,Road traffic accident,Fulfilled,39.3
EMR-0055,2026-02-12T00:00:00Z,DEMO-08,MED-050,61,High,Blood shortage,Partially_Fulfilled,19.0
EMR-0056,2025-10-09T00:00:00Z,HOSP-KP-001,MED-026,170,Medium,Dengue surge,Fulfilled,23.2
EMR-0057,2025-09-04T00:00:00Z,DEMO-07,MED-006,192,Critical,Postpartum hemorrhage,Fulfilled,10.6
EMR-0058,2025-08-01T00:00:00Z,DEMO-06,MED-011,192,High,Snake bite,Fulfilled,4.2
EMR-0059,2025-09-19T00:00:00Z,DEMO-04,MED-060,87,High,Blood shortage,Partially_Fulfilled,9.3
EMR-0060,2026-03-24T00:00:00Z,DEMO-04,MED-027,139,High,Road traffic accident,Fulfilled,16.4
EMR-0061,2026-06-03T00:00:00Z,DEMO-05,MED-008,239,Medium,Postpartum hemorrhage,Partially_Fulfilled,9.0
EMR-0062,2025-12-05T00:00:00Z,DEMO-05,MED-066,49,Critical,Surgical emergency,Fulfilled,6.1
EMR-0063,2025-11-10T00:00:00Z,DEMO-04,MED-071,16,Medium,Flood displacement camp,Open,28.5
EMR-0064,2025-08-31T00:00:00Z,HOSP-SP-002,MED-060,64,Medium,Neonatal sepsis,Partially_Fulfilled,38.9
EMR-0065,2026-05-04T00:00:00Z,DEMO-07,MED-065,98,High,Blood shortage,Partially_Fulfilled,47.2
EMR-0066,2026-01-04T00:00:00Z,DEMO-03,MED-046,39,High,Postpartum hemorrhage,Fulfilled,38.1
EMR-0067,2026-03-08T00:00:00Z,HOSP-BG-016,MED-001,58,High,Blood shortage,Fulfilled,32.2
EMR-0068,2026-04-18T00:00:00Z,DEMO-08,MED-037,84,Medium,COPD exacerbation cluster,Fulfilled,22.7
EMR-0069,2025-09-24T00:00:00Z,HOSP-BG-017,MED-023,34,Medium,Flood displacement camp,Fulfilled,40.4
EMR-0070,2025-08-24T00:00:00Z,DEMO-08,MED-041,206,Critical,Flood displacement camp,Fulfilled,15.1
EMR-0071,2026-02-01T00:00:00Z,HOSP-SP-002,MED-057,30,High,Surgical emergency,Open,22.6
EMR-0072,2026-01-04T00:00:00Z,HOSP-SP-001,MED-035,15,Critical,Pediatric pneumonia surge,Open,2.1
EMR-0073,2025-11-18T00:00:00Z,HOSP-SP-002,MED-041,199,Critical,COPD exacerbation cluster,Fulfilled,14.8
EMR-0074,2025-10-02T00:00:00Z,DEMO-06,MED-068,67,High,Dengue surge,Open,47.7
EMR-0075,2026-05-31T00:00:00Z,DEMO-02,MED-042,172,Medium,Chemo stockout,Fulfilled,15.6
EMR-0076,2025-09-14T00:00:00Z,DEMO-07,MED-012,151,High,Mass casualty,Fulfilled,35.1
EMR-0077,2025-07-16T00:00:00Z,HOSP-LB-001,MED-023,160,High,Chemo stockout,Fulfilled,26.8
EMR-0078,2026-01-21T00:00:00Z,HOSP-KP-003,MED-069,174,Critical,Chemo stockout,Fulfilled,15.5
EMR-0079,2025-08-10T00:00:00Z,HOSP-SP-002,MED-012,298,Medium,Flood displacement camp,Cancelled,22.7
EMR-0080,2025-12-01T00:00:00Z,DEMO-08,MED-065,28,Critical,Pediatric pneumonia surge,Fulfilled,13.1
EMR-0081,2026-06-17T00:00:00Z,HOSP-KR-004,MED-070,54,Medium,Mass casualty,Partially_Fulfilled,15.7
EMR-0082,2025-08-20T00:00:00Z,DEMO-05,MED-002,289,Critical,Surgical emergency,Partially_Fulfilled,5.1
EMR-0083,2025-12-14T00:00:00Z,HOSP-KR-004,MED-009,275,Medium,Mass casualty,Fulfilled,28.3
EMR-0084,2026-03-01T00:00:00Z,DEMO-01,MED-021,53,High,Postpartum hemorrhage,Fulfilled,29.9
EMR-0085,2025-12-11T00:00:00Z,DEMO-01,MED-046,28,High,Chemo stockout,Open,24.1
EMR-0086,2025-07-18T00:00:00Z,HOSP-GD-002,MED-029,193,High,Flood displacement camp,Cancelled,36.0
EMR-0087,2026-06-21T00:00:00Z,DEMO-05,MED-062,106,Medium,Blood shortage,Open,14.1
EMR-0088,2026-04-11T00:00:00Z,DEMO-04,MED-062,110,High,COPD exacerbation cluster,Fulfilled,29.8
EMR-0089,2026-03-23T00:00:00Z,HOSP-KR-001,MED-066,162,High,COPD exacerbation cluster,Cancelled,43.7
EMR-0090,2025-08-26T00:00:00Z,DEMO-02,MED-049,19,High,Chemo stockout,Open,30.3
EMR-0091,2025-11-03T00:00:00Z,HOSP-BG-014,MED-032,239,High,Snake bite,Partially_Fulfilled,26.2
EMR-0092,2025-07-04T00:00:00Z,HOSP-BG-011,MED-004,38,Medium,Surgical emergency,Cancelled,22.7
EMR-0093,2026-03-30T00:00:00Z,DEMO-06,MED-047,291,Medium,Pediatric pneumonia surge,Fulfilled,3.6
EMR-0094,2025-10-14T00:00:00Z,DEMO-04,MED-072,78,Medium,Neonatal sepsis,Open,43.3
EMR-0095,2025-08-02T00:00:00Z,DEMO-03,MED-069,193,High,Mass casualty,Fulfilled,42.4
EMR-0096,2025-09-18T00:00:00Z,DEMO-02,MED-011,148,Critical,Dengue surge,Fulfilled,9.8
EMR-0097,2026-04-04T00:00:00Z,HOSP-BG-018,MED-032,135,Medium,Snake bite,Cancelled,1.5
EMR-0098,2025-10-18T00:00:00Z,DEMO-05,MED-053,244,High,Pediatric pneumonia surge,Fulfilled,16.2
EMR-0099,2026-05-09T00:00:00Z,HOSP-KR-001,MED-019,296,High,Neonatal sepsis,Fulfilled,7.5
EMR-0100,2026-04-03T00:00:00Z,DEMO-03,MED-008,177,High,Chemo stockout,Fulfilled,39.8
EMR-0101,2025-07-16T00:00:00Z,HOSP-GD-004,MED-005,38,Critical,Pediatric pneumonia surge,Cancelled,1.0
EMR-0102,2025-10-26T00:00:00Z,DEMO-08,MED-018,283,High,COPD exacerbation cluster,Fulfilled,35.0
EMR-0103,2026-05-21T00:00:00Z,HOSP-SP-003,MED-060,139,High,Snake bite,Fulfilled,33.7
EMR-0104,2026-06-03T00:00:00Z,DEMO-06,MED-025,94,Critical,Chemo stockout,Fulfilled,2.9
EMR-0105,2026-02-23T00:00:00Z,HOSP-BG-018,MED-043,6,Critical,Snake bite,Fulfilled,6.9
EMR-0106,2026-01-26T00:00:00Z,HOSP-LB-005,MED-071,38,Medium,Chemo stockout,Open,14.1
EMR-0107,2025-10-23T00:00:00Z,DEMO-08,MED-072,25,Critical,Mass casualty,Fulfilled,2.8
EMR-0108,2025-10-03T00:00:00Z,HOSP-LB-004,MED-058,73,Critical,Neonatal sepsis,Fulfilled,17.2
EMR-0109,2026-03-27T00:00:00Z,DEMO-02,MED-002,90,Medium,Mass casualty,Fulfilled,39.3
EMR-0110,2026-05-15T00:00:00Z,DEMO-08,MED-025,184,Medium,Postpartum hemorrhage,Fulfilled,28.3
EMR-0111,2026-01-18T00:00:00Z,HOSP-SP-001,MED-006,154,High,Blood shortage,Partially_Fulfilled,41.5
EMR-0112,2026-03-01T00:00:00Z,DEMO-07,MED-032,131,Medium,Road traffic accident,Fulfilled,32.9
EMR-0113,2026-01-28T00:00:00Z,HOSP-SP-002,MED-011,104,High,Road traffic accident,Fulfilled,2.6
EMR-0114,2026-03-08T00:00:00Z,DEMO-07,MED-022,59,High,Road traffic accident,Fulfilled,45.0
EMR-0115,2025-09-13T00:00:00Z,HOSP-LB-004,MED-018,84,High,Pediatric pneumonia surge,Fulfilled,9.6
EMR-0116,2025-11-18T00:00:00Z,DEMO-04,MED-056,53,Medium,Surgical emergency,Fulfilled,1.0
EMR-0117,2025-12-15T00:00:00Z,HOSP-SP-002,MED-026,20,Medium,Mass casualty,Fulfilled,14.2
EMR-0118,2025-08-07T00:00:00Z,HOSP-SP-002,MED-046,240,Medium,Snake bite,Fulfilled,36.1
EMR-0119,2025-11-24T00:00:00Z,DEMO-03,MED-008,34,High,Postpartum hemorrhage,Fulfilled,47.6
EMR-0120,2025-12-17T00:00:00Z,DEMO-05,MED-064,28,Medium,Snake bite,Fulfilled,12.4
EMR-0121,2025-08-22T00:00:00Z,DEMO-02,MED-026,96,Critical,COPD exacerbation cluster,Fulfilled,13.3
EMR-0122,2025-09-25T00:00:00Z,DEMO-05,MED-060,170,Medium,Chemo stockout,Fulfilled,1.8
EMR-0123,2026-06-20T00:00:00Z,DEMO-01,MED-034,281,Critical,Chemo stockout,Open,12.5
EMR-0124,2025-11-07T00:00:00Z,DEMO-07,MED-057,5,Medium,Pediatric pneumonia surge,Partially_Fulfilled,28.5
EMR-0125,2025-07-16T00:00:00Z,DEMO-06,MED-022,61,High,COPD exacerbation cluster,Fulfilled,34.0
EMR-0126,2026-05-09T00:00:00Z,DEMO-05,MED-019,237,High,Blood shortage,Fulfilled,8.9
EMR-0127,2026-01-12T00:00:00Z,DEMO-07,MED-055,86,Medium,COPD exacerbation cluster,Partially_Fulfilled,14.7
EMR-0128,2026-06-13T00:00:00Z,DEMO-05,MED-037,45,High,Dengue surge,Fulfilled,29.9
EMR-0129,2026-04-06T00:00:00Z,HOSP-BG-011,MED-025,204,Critical,Dengue surge,Fulfilled,12.5
EMR-0130,2026-06-20T00:00:00Z,DEMO-03,MED-012,172,High,Postpartum hemorrhage,Partially_Fulfilled,45.8
EMR-0131,2025-09-23T00:00:00Z,HOSP-BG-012,MED-071,253,High,Pediatric pneumonia surge,Partially_Fulfilled,11.7
EMR-0132,2026-05-18T00:00:00Z,DEMO-04,MED-022,221,High,Road traffic accident,Fulfilled,27.3
EMR-0133,2026-03-25T00:00:00Z,HOSP-MD-003,MED-022,35,Medium,Dengue surge,Fulfilled,17.8
EMR-0134,2025-07-08T00:00:00Z,DEMO-05,MED-010,216,Critical,Flood displacement camp,Fulfilled,14.5
EMR-0135,2025-07-18T00:00:00Z,DEMO-01,MED-018,299,Critical,Surgical emergency,Fulfilled,3.2
EMR-0136,2026-01-05T00:00:00Z,HOSP-KR-004,MED-017,179,High,Neonatal sepsis,Fulfilled,26.0
EMR-0137,2026-04-24T00:00:00Z,HOSP-BG-011,MED-026,269,High,Snake bite,Cancelled,22.0
EMR-0138,2025-09-25T00:00:00Z,DEMO-03,MED-067,92,High,Snake bite,Cancelled,28.3
EMR-0139,2025-11-01T00:00:00Z,DEMO-07,MED-046,111,Medium,Chemo stockout,Fulfilled,14.7
EMR-0140,2025-12-17T00:00:00Z,DEMO-07,MED-036,127,High,Chemo stockout,Fulfilled,19.0
EMR-0141,2026-06-24T00:00:00Z,DEMO-07,MED-041,288,Medium,Surgical emergency,Partially_Fulfilled,7.2
EMR-0142,2025-09-18T00:00:00Z,HOSP-KR-004,MED-072,18,Medium,Mass casualty,Cancelled,29.6
EMR-0143,2026-01-30T00:00:00Z,HOSP-LB-003,MED-059,211,High,Road traffic accident,Fulfilled,29.2
EMR-0144,2025-08-18T00:00:00Z,DEMO-02,MED-001,69,High,Dengue surge,Fulfilled,42.6
EMR-0145,2026-01-10T00:00:00Z,HOSP-KP-003,MED-062,129,Medium,Flood displacement camp,Open,34.6
EMR-0146,2026-02-22T00:00:00Z,DEMO-08,MED-025,90,High,Chemo stockout,Fulfilled,17.3
EMR-0147,2025-08-12T00:00:00Z,DEMO-06,MED-060,113,High,Neonatal sepsis,Partially_Fulfilled,12.3
EMR-0148,2026-04-07T00:00:00Z,DEMO-03,MED-059,287,Medium,Snake bite,Open,47.4
EMR-0149,2025-12-12T00:00:00Z,HOSP-KR-001,MED-024,111,Critical,Chemo stockout,Open,9.9
EMR-0150,2026-02-17T00:00:00Z,DEMO-02,MED-039,291,High,Postpartum hemorrhage,Cancelled,4.2
EMR-0151,2026-04-18T00:00:00Z,HOSP-BG-011,MED-050,44,Critical,Mass casualty,Fulfilled,5.9
EMR-0152,2026-06-17T00:00:00Z,DEMO-03,MED-048,101,Medium,Mass casualty,Open,25.7
EMR-0153,2025-08-20T00:00:00Z,HOSP-SP-004,MED-043,208,High,Postpartum hemorrhage,Cancelled,36.4
EMR-0154,2025-08-12T00:00:00Z,DEMO-03,MED-027,100,Medium,Surgical emergency,Fulfilled,8.2
EMR-0155,2026-01-06T00:00:00Z,DEMO-06,MED-011,234,High,Chemo stockout,Partially_Fulfilled,37.1
EMR-0156,2025-12-26T00:00:00Z,DEMO-04,MED-032,71,Critical,Neonatal sepsis,Fulfilled,5.6
EMR-0157,2025-12-15T00:00:00Z,HOSP-KR-001,MED-032,138,High,Flood displacement camp,Cancelled,11.2
EMR-0158,2025-08-23T00:00:00Z,DEMO-07,MED-049,12,High,Snake bite,Fulfilled,47.0
EMR-0159,2026-05-30T00:00:00Z,HOSP-SP-003,MED-037,235,High,Postpartum hemorrhage,Cancelled,39.4
EMR-0160,2026-06-18T00:00:00Z,DEMO-04,MED-049,172,High,Surgical emergency,Fulfilled,15.0
EMR-0161,2025-09-30T00:00:00Z,HOSP-SP-001,MED-040,50,High,Chemo stockout,Open,41.9
EMR-0162,2026-05-09T00:00:00Z,DEMO-01,MED-032,187,Critical,Pediatric pneumonia surge,Partially_Fulfilled,1.1
EMR-0163,2026-02-21T00:00:00Z,DEMO-08,MED-013,156,Medium,Postpartum hemorrhage,Fulfilled,23.3
EMR-0164,2025-09-30T00:00:00Z,HOSP-GD-003,MED-035,148,Medium,Chemo stockout,Partially_Fulfilled,31.1
EMR-0165,2026-03-30T00:00:00Z,DEMO-07,MED-022,205,High,Postpartum hemorrhage,Fulfilled,26.6
EMR-0166,2026-03-07T00:00:00Z,DEMO-05,MED-070,17,High,Flood displacement camp,Fulfilled,35.0
EMR-0167,2025-12-10T00:00:00Z,DEMO-02,MED-066,41,High,Neonatal sepsis,Fulfilled,35.8
EMR-0168,2025-11-13T00:00:00Z,DEMO-04,MED-029,201,High,Mass casualty,Fulfilled,35.5
EMR-0169,2025-12-13T00:00:00Z,HOSP-BG-019,MED-034,275,High,Mass casualty,Cancelled,28.8
EMR-0170,2025-11-21T00:00:00Z,HOSP-GD-003,MED-018,122,High,Road traffic accident,Fulfilled,6.7
EMR-0171,2026-04-22T00:00:00Z,DEMO-08,MED-047,240,Critical,Road traffic accident,Fulfilled,14.9
EMR-0172,2025-07-24T00:00:00Z,DEMO-01,MED-047,192,Critical,Pediatric pneumonia surge,Cancelled,2.3
EMR-0173,2026-04-10T00:00:00Z,HOSP-GD-005,MED-062,42,High,Pediatric pneumonia surge,Cancelled,39.8
EMR-0174,2026-04-28T00:00:00Z,DEMO-02,MED-062,242,Medium,Surgical emergency,Fulfilled,5.2
EMR-0175,2025-10-21T00:00:00Z,HOSP-LB-004,MED-047,259,Medium,Pediatric pneumonia surge,Fulfilled,23.5
EMR-0176,2026-05-26T00:00:00Z,DEMO-02,MED-069,205,Critical,Neonatal sepsis,Fulfilled,4.2
EMR-0177,2025-08-12T00:00:00Z,HOSP-BG-011,MED-039,121,Medium,Dengue surge,Fulfilled,23.9
EMR-0178,2026-03-17T00:00:00Z,HOSP-BG-014,MED-008,248,Medium,Snake bite,Fulfilled,2.2
EMR-0179,2026-04-28T00:00:00Z,HOSP-MD-002,MED-072,40,Critical,Postpartum hemorrhage,Partially_Fulfilled,13.7
EMR-0180,2025-08-24T00:00:00Z,HOSP-LB-003,MED-056,266,High,Postpartum hemorrhage,Fulfilled,35.1
EMR-0181,2025-12-28T00:00:00Z,DEMO-07,MED-043,100,High,Snake bite,Fulfilled,26.5
EMR-0182,2026-03-09T00:00:00Z,DEMO-01,MED-006,91,Critical,Road traffic accident,Partially_Fulfilled,9.0
EMR-0183,2025-08-26T00:00:00Z,HOSP-SP-003,MED-025,17,High,COPD exacerbation cluster,Fulfilled,17.0
EMR-0184,2026-04-24T00:00:00Z,DEMO-01,MED-062,62,High,Chemo stockout,Partially_Fulfilled,47.4
EMR-0185,2025-12-03T00:00:00Z,DEMO-08,MED-045,90,Medium,COPD exacerbation cluster,Fulfilled,17.0
EMR-0186,2026-01-08T00:00:00Z,HOSP-GD-002,MED-022,36,High,Snake bite,Partially_Fulfilled,26.9
EMR-0187,2026-03-06T00:00:00Z,HOSP-KP-001,MED-003,260,Critical,Snake bite,Fulfilled,1.4
EMR-0188,2026-06-21T00:00:00Z,HOSP-GD-002,MED-035,91,Medium,Dengue surge,Partially_Fulfilled,36.2
EMR-0189,2026-05-21T00:00:00Z,DEMO-08,MED-040,82,High,Pediatric pneumonia surge,Partially_Fulfilled,17.9
EMR-0190,2025-11-29T00:00:00Z,DEMO-07,MED-066,95,Critical,Blood shortage,Fulfilled,16.4
EMR-0191,2025-10-25T00:00:00Z,DEMO-07,MED-072,10,High,Road traffic accident,Partially_Fulfilled,43.5
EMR-0192,2025-08-12T00:00:00Z,DEMO-02,MED-021,156,High,Neonatal sepsis,Fulfilled,38.9
EMR-0193,2026-04-04T00:00:00Z,HOSP-SP-003,MED-005,22,High,Flood displacement camp,Fulfilled,27.2
EMR-0194,2026-05-07T00:00:00Z,DEMO-07,MED-048,37,Medium,Snake bite,Partially_Fulfilled,26.6
EMR-0195,2025-07-04T00:00:00Z,DEMO-02,MED-070,145,Medium,Pediatric pneumonia surge,Fulfilled,29.5
EMR-0196,2025-12-28T00:00:00Z,HOSP-KR-004,MED-056,104,High,Snake bite,Fulfilled,32.1
EMR-0197,2026-02-08T00:00:00Z,HOSP-LB-002,MED-030,144,Medium,Dengue surge,Open,25.8
EMR-0198,2025-08-04T00:00:00Z,DEMO-01,MED-052,167,Medium,COPD exacerbation cluster,Cancelled,23.6
EMR-0199,2025-12-07T00:00:00Z,DEMO-08,MED-024,40,High,Chemo stockout,Fulfilled,24.7
EMR-0200,2026-05-30T00:00:00Z,HOSP-KR-004,MED-040,104,Medium,Snake bite,Fulfilled,25.2
